entry_id,source_form,current_db_msn_headword,proposed_msn_headword,part_of_speech,gloss_en,gloss_es,primer_overlap,review_priority,msn_use_status,risk_flags,orthography_basis,search_fallbacks_json,source_id,source_file,source_reference,source_confidence,speaker_validation_status,editorial_status,recommended_action
kw::camanalli::2,camanalli,camanalli,kamanalli,noun,word.,,no,P2_general_ehn_candidate,candidate_internal_use,,hard c > k,"[""camanalli"", ""kamanalli""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::camanalli::sense-2,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::camanalli::3,camanalli,camanalli,kamanalli,noun,language.,,no,P2_general_ehn_candidate,candidate_internal_use,,hard c > k,"[""camanalli"", ""kamanalli""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::camanalli::sense-3,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::camanalohquetl::1,camanalohquetl,camanalohquetl,kamanalohketl,noun,speaker.,,no,P2_general_ehn_candidate,candidate_internal_use,,qu > k before front vowel; hard c > k,"[""camanalohquetl"", ""camanaloquetl"", ""kamanalohketl"", ""kamanaloketl"", ""camanalohcetl""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::camanalohquetl::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::camanalohua::1,camanalohua,camanalohua,kamanalowa,verb,to speak.,,no,P2_general_ehn_candidate,candidate_internal_use,,hu> w before vowel; hard c > k,"[""camanalohua"", ""camanaloua"", ""kamanalowa""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::camanalohua::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::camanaltiquetl::1,camanaltiquetl,camanaltiquetl,kamanaltiketl,noun,obsolete spelling of kamanaltiketl,,no,P4_cleanup_not_for_authoring,needs_cleanup_or_special_review,obsolete_spelling_gloss;historical_or_archaic_note,gloss target: kamanaltiketl,"[""camanaltiquetl"", ""kamanaltiketl"", ""camanalticetl""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::camanaltiquetl::sense-1,0.95,Unreviewed,Imported_raw,Do not use in public MSN prose until the risk flag is resolved.
kw::camati::1,camati,camati,kamati,verb,to speak.,,no,P2_general_ehn_candidate,candidate_internal_use,,hard c > k,"[""camati"", ""kamati""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::camati::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::camohtli::3,camohtli,camohtli,kamohtli,noun,sweet potato.,,no,P2_general_ehn_candidate,candidate_internal_use,,hard c > k,"[""camohtli"", ""camotli"", ""kamohtli"", ""kamotli""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::camohtli::sense-3,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::campa::4,campa,campa,kampa,adv,where,,no,P2_general_ehn_candidate,candidate_internal_use,,hard c > k,"[""campa"", ""kampa""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::campa::sense-4,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::canque::1,canque,canque,kanke,adv,where,,no,P2_general_ehn_candidate,candidate_internal_use,,qu > k before front vowel; hard c > k,"[""canque"", ""kanke"", ""cance""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::canque::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::canque::2,canque,canque,kanke,adv,"whither, to where.",,no,P2_general_ehn_candidate,candidate_internal_use,,qu > k before front vowel; hard c > k,"[""canque"", ""kanke"", ""cance""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::canque::sense-2,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::carro::1,carro,carro,karro,noun,car.,,no,P2_general_ehn_candidate,candidate_internal_use,,hard c > k,"[""carro"", ""karro""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::carro::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::carro::2,carro,carro,karro,noun,chariot.,,no,P2_general_ehn_candidate,candidate_internal_use,,hard c > k,"[""carro"", ""karro""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::carro::sense-2,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::cartilla::1,cartilla,cartilla,kartilla,noun,"card, book",,no,P2_general_ehn_candidate,candidate_internal_use,,hard c > k,"[""cartilla"", ""kartilla""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::cartilla::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
kw::caxtiltecacamanali::1,caxtiltecacamanali,caxtiltecacamanali,kaxtiltekakamanalli,noun,alternative spelling of caxtiltecacamanalli,,no,P4_cleanup_not_for_authoring,needs_cleanup_or_special_review,alternative_spelling_gloss,gloss target: caxtiltecacamanalli; hard c > k,"[""caxtiltecacamanali"", ""kaxtiltekakamanalli"", ""caxtiltecacamanalli""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::caxtiltecacamanali::sense-1,0.95,Unreviewed,Imported_raw,Do not use in public MSN prose until the risk flag is resolved.
kw::caxtiltecacamanalli::1,caxtiltecacamanalli,caxtiltecacamanalli,kaxtiltekakamanalli,noun,the Spanish language.,,no,P2_general_ehn_candidate,candidate_internal_use,,hard c > k,"[""caxtiltecacamanalli"", ""kaxtiltekakamanalli""]",FCN-SRC-KAIKKI-UNIFIED,nahuatl_kaikki_unified.json,nahuatl_kaikki_unified.json::caxtiltecacamanalli::sense-1,0.95,Unreviewed,Imported_raw,Review after primer-core candidates; usable for controlled drafting once checked.
